l2 gear
10:36:10.632 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.989, roll: 2.092, pitch: 3.613
10:36:11.957 -> Acceleration in g's  X: -0.062, Y: 0.034, Z: 0.993, roll: 1.971, pitch: 3.543
10:36:11.991 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.994, roll: 1.969, pitch: 3.595
10:36:12.026 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.992, roll: 2.029, pitch: 3.602
10:36:12.026 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.595
10:36:12.060 -> Acceleration in g's  X: -0.063, Y: 0.033, Z: 0.994, roll: 1.913, pitch: 3.595
10:36:12.095 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.994, roll: 1.969, pitch: 3.595
10:36:12.129 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.995, roll: 2.023, pitch: 3.592
10:36:12.129 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.996, roll: 2.077, pitch: 3.588
10:36:12.163 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.599
10:36:12.197 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.993, roll: 2.084, pitch: 3.655
10:36:12.232 -> Acceleration in g's  X: -0.063, Y: 0.037, Z: 0.994, roll: 2.138, pitch: 3.651
10:36:12.232 -> Acceleration in g's  X: -0.063, Y: 0.037, Z: 0.996, roll: 2.134, pitch: 3.644
10:36:12.266 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.995, roll: 2.023, pitch: 3.648
10:36:12.299 -> Acceleration in g's  X: -0.063, Y: 0.037, Z: 0.996, roll: 2.134, pitch: 3.588
10:36:12.334 -> Acceleration in g's  X: -0.062, Y: 0.036, Z: 0.995, roll: 2.080, pitch: 3.536
10:36:12.334 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.539
10:36:12.368 -> Acceleration in g's  X: -0.062, Y: 0.034, Z: 0.992, roll: 1.973, pitch: 3.546
10:36:12.402 -> Acceleration in g's  X: -0.061, Y: 0.034, Z: 0.991, roll: 1.975, pitch: 3.493
10:36:12.437 -> Acceleration in g's  X: -0.061, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.486
10:36:12.437 -> Acceleration in g's  X: -0.062, Y: 0.034, Z: 0.995, roll: 1.967, pitch: 3.536
10:36:12.471 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.995, roll: 2.023, pitch: 3.536
10:36:12.504 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.996, roll: 2.077, pitch: 3.588
10:36:12.538 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.994, roll: 2.082, pitch: 3.651
10:36:12.538 -> Acceleration in g's  X: -0.064, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.711
10:36:12.571 -> Acceleration in g's  X: -0.064, Y: 0.036, Z: 0.994, roll: 2.082, pitch: 3.707
10:36:12.604 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.994, roll: 2.082, pitch: 3.595
10:36:12.638 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.995, roll: 2.023, pitch: 3.592
10:36:12.672 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.595
10:36:12.672 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.539
10:36:12.706 -> Acceleration in g's  X: -0.062, Y: 0.036, Z: 0.995, roll: 2.080, pitch: 3.536
10:36:12.741 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.991, roll: 2.088, pitch: 3.606
10:36:12.774 -> Acceleration in g's  X: -0.062, Y: 0.036, Z: 0.992, roll: 2.086, pitch: 3.546
10:36:12.774 -> Acceleration in g's  X: -0.060, Y: 0.034, Z: 0.994, roll: 1.969, pitch: 3.427
10:36:12.808 -> Acceleration in g's  X: -0.062, Y: 0.036, Z: 0.996, roll: 2.077, pitch: 3.532
10:36:12.841 -> Acceleration in g's  X: -0.061, Y: 0.035, Z: 0.996, roll: 2.021, pitch: 3.476
10:36:12.876 -> Acceleration in g's  X: -0.061, Y: 0.034, Z: 0.994, roll: 1.969, pitch: 3.483
10:36:12.876 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.996, roll: 2.021, pitch: 3.532
10:36:12.910 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.991, roll: 1.975, pitch: 3.662
10:36:12.943 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.993, roll: 2.084, pitch: 3.655
10:36:12.978 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.993, roll: 2.084, pitch: 3.655
10:36:12.978 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.994, roll: 2.082, pitch: 3.651
10:36:13.011 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.599
10:36:13.045 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.993, roll: 1.971, pitch: 3.599
10:36:13.080 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.994, roll: 2.082, pitch: 3.595
10:36:13.080 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.599
10:36:13.115 -> Acceleration in g's  X: -0.061, Y: 0.036, Z: 0.993, roll: 2.084, pitch: 3.486
10:36:13.149 -> Acceleration in g's  X: -0.061, Y: 0.036, Z: 0.995, roll: 2.080, pitch: 3.480
10:36:13.184 -> Acceleration in g's  X: -0.061, Y: 0.033, Z: 0.993, roll: 1.915, pitch: 3.487
10:36:13.218 -> Acceleration in g's  X: -0.061, Y: 0.034, Z: 0.993, roll: 1.971, pitch: 3.487
10:36:13.218 -> Acceleration in g's  X: -0.062, Y: 0.034, Z: 0.993, roll: 1.971, pitch: 3.543
10:36:13.250 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.993, roll: 1.971, pitch: 3.599
10:36:13.285 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.992, roll: 2.029, pitch: 3.658
10:36:13.319 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.599
10:36:13.319 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.994, roll: 1.969, pitch: 3.595
10:36:13.354 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.995, roll: 2.023, pitch: 3.648
10:36:13.388 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.997, roll: 2.019, pitch: 3.585
10:36:13.421 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.994, roll: 2.082, pitch: 3.595
10:36:13.421 -> Acceleration in g's  X: -0.062, Y: 0.037, Z: 0.995, roll: 2.136, pitch: 3.535
10:36:13.456 -> Acceleration in g's  X: -0.062, Y: 0.036, Z: 0.992, roll: 2.086, pitch: 3.546
10:36:13.490 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.992, roll: 2.029, pitch: 3.602
10:36:13.524 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.539
10:36:13.524 -> Acceleration in g's  X: -0.062, Y: 0.036, Z: 0.994, roll: 2.082, pitch: 3.539
10:36:13.558 -> Acceleration in g's  X: -0.062, Y: 0.034, Z: 0.993, roll: 1.971, pitch: 3.543
10:36:13.592 -> Acceleration in g's  X: -0.062, Y: 0.034, Z: 0.993, roll: 1.971, pitch: 3.543
10:36:13.627 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.995, roll: 1.967, pitch: 3.592
10:36:13.627 -> Acceleration in g's  X: -0.063, Y: 0.033, Z: 0.993, roll: 1.915, pitch: 3.655
10:36:13.661 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.995, roll: 1.967, pitch: 3.648
10:36:13.695 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.996, roll: 2.021, pitch: 3.644
10:36:13.729 -> Acceleration in g's  X: -0.063, Y: 0.037, Z: 0.996, roll: 2.134, pitch: 3.588
10:36:13.729 -> Acceleration in g's  X: -0.063, Y: 0.037, Z: 0.995, roll: 2.136, pitch: 3.591
10:36:13.764 -> Acceleration in g's  X: -0.062, Y: 0.036, Z: 0.993, roll: 2.084, pitch: 3.542
10:36:13.797 -> Acceleration in g's  X: -0.062, Y: 0.037, Z: 0.993, roll: 2.140, pitch: 3.542
10:36:13.830 -> Acceleration in g's  X: -0.063, Y: 0.037, Z: 0.993, roll: 2.140, pitch: 3.598
10:36:13.830 -> Acceleration in g's  X: -0.061, Y: 0.036, Z: 0.993, roll: 2.084, pitch: 3.486
10:36:13.864 -> Acceleration in g's  X: -0.061, Y: 0.034, Z: 0.995, roll: 1.967, pitch: 3.480
10:36:13.899 -> Acceleration in g's  X: -0.062, Y: 0.034, Z: 0.994, roll: 1.969, pitch: 3.539
10:36:13.933 -> Acceleration in g's  X: -0.062, Y: 0.034, Z: 0.994, roll: 1.969, pitch: 3.539
10:36:13.966 -> Acceleration in g's  X: -0.063, Y: 0.033, Z: 0.994, roll: 1.913, pitch: 3.595
10:36:13.966 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.993, roll: 1.971, pitch: 3.599
10:36:14.002 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.995, roll: 1.967, pitch: 3.648
10:36:14.034 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.996, roll: 2.021, pitch: 3.644
10:36:14.067 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.993, roll: 2.084, pitch: 3.655
10:36:14.067 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.994, roll: 2.082, pitch: 3.651
10:36:14.102 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.993, roll: 2.084, pitch: 3.599
10:36:14.137 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.992, roll: 2.029, pitch: 3.546
10:36:14.170 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.992, roll: 2.029, pitch: 3.546
10:36:14.170 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.543
10:36:14.203 -> Acceleration in g's  X: -0.061, Y: 0.033, Z: 0.996, roll: 1.909, pitch: 3.476
10:36:14.236 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.539
10:36:14.271 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.543
10:36:14.271 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.599
10:36:14.306 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.599
10:36:14.341 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.993, roll: 2.084, pitch: 3.599
10:36:14.375 -> Acceleration in g's  X: -0.062, Y: 0.036, Z: 0.994, roll: 2.082, pitch: 3.539
10:36:14.375 -> Acceleration in g's  X: -0.062, Y: 0.036, Z: 0.994, roll: 2.082, pitch: 3.539
10:36:14.407 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.995, roll: 2.023, pitch: 3.592
10:36:14.441 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.995, roll: 2.080, pitch: 3.591
10:36:14.475 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.599
10:36:14.509 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.595
10:36:14.509 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.599
10:36:14.543 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.599
10:36:14.576 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.599
10:36:14.610 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.595
10:36:14.610 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.595
10:36:14.644 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.996, roll: 2.021, pitch: 3.588
10:36:14.679 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.994, roll: 1.969, pitch: 3.595
10:36:14.714 -> Acceleration in g's  X: -0.062, Y: 0.034, Z: 0.995, roll: 1.967, pitch: 3.536
10:36:14.714 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.996, roll: 2.021, pitch: 3.532
10:36:14.746 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.996, roll: 2.021, pitch: 3.532
10:36:14.779 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.595
10:36:14.813 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.995, roll: 2.023, pitch: 3.592
10:36:14.813 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.595
10:36:14.847 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.595
10:36:14.880 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.543
10:36:14.914 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.543
10:36:14.948 -> Acceleration in g's  X: -0.062, Y: 0.034, Z: 0.995, roll: 1.967, pitch: 3.536
10:36:14.948 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.996, roll: 2.021, pitch: 3.532
10:36:14.982 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.539
10:36:15.018 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.595
10:36:15.052 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.995, roll: 2.023, pitch: 3.536
10:36:15.052 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.996, roll: 2.021, pitch: 3.532
10:36:15.086 -> Acceleration in g's  X: -0.061, Y: 0.036, Z: 0.995, roll: 2.080, pitch: 3.480
10:36:15.120 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.995, roll: 2.023, pitch: 3.536
10:36:15.153 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.995, roll: 2.023, pitch: 3.592
10:36:15.153 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.539
10:36:15.188 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.994, roll: 1.969, pitch: 3.595
10:36:15.222 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.599
10:36:15.255 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.599
10:36:15.255 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.996, roll: 2.077, pitch: 3.588
10:36:15.290 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.599
10:36:15.323 -> Acceleration in g's  X: -0.062, Y: 0.036, Z: 0.992, roll: 2.086, pitch: 3.546
10:36:15.356 -> Acceleration in g's  X: -0.061, Y: 0.036, Z: 0.993, roll: 2.084, pitch: 3.486
10:36:15.356 -> Acceleration in g's  X: -0.061, Y: 0.036, Z: 0.993, roll: 2.084, pitch: 3.486
10:36:15.390 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.539
10:36:15.423 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.539
10:36:15.457 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.539
10:36:15.490 -> Acceleration in g's  X: -0.062, Y: 0.034, Z: 0.993, roll: 1.971, pitch: 3.543
10:36:15.490 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.595
10:36:15.523 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.595
10:36:15.557 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.595
10:36:15.590 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.995, roll: 2.080, pitch: 3.591
10:36:15.590 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.595
10:36:15.623 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.995, roll: 2.023, pitch: 3.592
10:36:15.658 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.595
10:36:15.691 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.995, roll: 1.967, pitch: 3.592
10:36:15.691 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.599
10:36:15.725 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.543
10:36:15.758 -> Acceleration in g's  X: -0.062, Y: 0.034, Z: 0.993, roll: 1.971, pitch: 3.543
10:36:15.792 -> Acceleration in g's  X: -0.062, Y: 0.034, Z: 0.995, roll: 1.967, pitch: 3.536
10:36:15.826 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.995, roll: 2.023, pitch: 3.592
10:36:15.826 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.993, roll: 2.084, pitch: 3.599
10:36:15.861 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.994, roll: 2.082, pitch: 3.595
10:36:15.894 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.995, roll: 2.023, pitch: 3.536
10:36:15.928 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.543
10:36:15.928 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.992, roll: 2.029, pitch: 3.602
10:36:15.962 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.599
10:36:15.996 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.595
10:36:16.030 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.599
10:36:16.030 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.992, roll: 2.029, pitch: 3.658
10:36:16.064 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.992, roll: 1.973, pitch: 3.658
10:36:16.099 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.995, roll: 2.023, pitch: 3.592
10:36:16.134 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.595
10:36:16.134 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.595
10:36:16.167 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.994, roll: 2.082, pitch: 3.595
10:36:16.202 -> Acceleration in g's  X: -0.062, Y: 0.036, Z: 0.995, roll: 2.080, pitch: 3.536
10:36:16.236 -> Acceleration in g's  X: -0.062, Y: 0.036, Z: 0.994, roll: 2.082, pitch: 3.539
10:36:16.236 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.993, roll: 2.084, pitch: 3.599
10:36:16.270 -> Acceleration in g's  X: -0.062, Y: 0.036, Z: 0.994, roll: 2.082, pitch: 3.539
10:36:16.304 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.595
10:36:16.337 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.539
10:36:16.337 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.993, roll: 2.027, pitch: 3.543
10:36:16.371 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.995, roll: 2.023, pitch: 3.592
10:36:16.405 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.996, roll: 2.021, pitch: 3.588
10:36:16.438 -> Acceleration in g's  X: -0.063, Y: 0.034, Z: 0.994, roll: 1.969, pitch: 3.595
10:36:16.472 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.995, roll: 2.023, pitch: 3.592
10:36:16.472 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.995, roll: 2.023, pitch: 3.592
10:36:16.506 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.994, roll: 2.025, pitch: 3.595
10:36:16.541 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.995, roll: 2.023, pitch: 3.648
10:36:16.574 -> Acceleration in g's  X: -0.063, Y: 0.035, Z: 0.995, roll: 2.023, pitch: 3.592
10:36:16.574 -> Acceleration in g's  X: -0.063, Y: 0.036, Z: 0.995, roll: 2.080, pitch: 3.591
10:36:16.609 -> Acceleration in g's  X: -0.062, Y: 0.036, Z: 0.996, roll: 2.077, pitch: 3.532
10:36:16.643 -> Acceleration in g's  X: -0.062, Y: 0.035, Z: 0.995, roll: 2.023, pitch: 3.536
10:36:16.729 -> Acceleration in g's  X: -0.062, Y: 0.036, Z: 0.996, roll: 2.077, pitch: 3.532
10:36:16.729 -> Acceleration in g's  X: -0.062, Y: 0.036, Z: 0.995, roll: 2.080, pitch: 3.536
10:36:16.729 -> Acceleration in g's  X: -0.062, Y: 0.036, Z: 0.996, roll: 2.077, pitch: 3.532
