47:27 l2
then l4
10:45:00.786 -> Acceleration in g's  X: 0.018, Y: -0.031, Z: 0.996, roll: -1.797, pitch: -1.010
10:45:02.210 -> Acceleration in g's  X: 0.019, Y: -0.032, Z: 0.994, roll: -1.857, pitch: -1.069
10:45:02.244 -> Acceleration in g's  X: 0.018, Y: -0.031, Z: 0.995, roll: -1.799, pitch: -1.011
10:45:02.244 -> Acceleration in g's  X: 0.018, Y: -0.031, Z: 0.995, roll: -1.799, pitch: -1.011
10:45:02.277 -> Acceleration in g's  X: 0.019, Y: -0.031, Z: 0.997, roll: -1.795, pitch: -1.066
10:45:02.311 -> Acceleration in g's  X: 0.019, Y: -0.033, Z: 0.995, roll: -1.911, pitch: -1.068
10:45:02.345 -> Acceleration in g's  X: 0.019, Y: -0.032, Z: 0.995, roll: -1.855, pitch: -1.068
10:45:02.379 -> Acceleration in g's  X: 0.019, Y: -0.033, Z: 0.996, roll: -1.909, pitch: -1.067
10:45:02.379 -> Acceleration in g's  X: 0.020, Y: -0.034, Z: 0.995, roll: -1.967, pitch: -1.124
10:45:02.412 -> Acceleration in g's  X: 0.020, Y: -0.034, Z: 0.995, roll: -1.967, pitch: -1.124
10:45:02.446 -> Acceleration in g's  X: 0.019, Y: -0.034, Z: 0.994, roll: -1.969, pitch: -1.069
10:45:02.479 -> Acceleration in g's  X: 0.020, Y: -0.034, Z: 0.995, roll: -1.967, pitch: -1.124
10:45:02.479 -> Acceleration in g's  X: 0.019, Y: -0.034, Z: 0.995, roll: -1.967, pitch: -1.068
10:45:02.512 -> Acceleration in g's  X: 0.019, Y: -0.033, Z: 0.996, roll: -1.909, pitch: -1.067
10:45:02.546 -> Acceleration in g's  X: 0.019, Y: -0.033, Z: 0.996, roll: -1.909, pitch: -1.067
10:45:02.579 -> Acceleration in g's  X: 0.019, Y: -0.032, Z: 0.996, roll: -1.853, pitch: -1.067
10:45:02.613 -> Acceleration in g's  X: 0.020, Y: -0.032, Z: 0.995, roll: -1.855, pitch: -1.124
10:45:02.613 -> Acceleration in g's  X: 0.019, Y: -0.032, Z: 0.997, roll: -1.851, pitch: -1.066
10:45:02.646 -> Acceleration in g's  X: 0.018, Y: -0.032, Z: 0.997, roll: -1.851, pitch: -1.009
10:45:02.679 -> Acceleration in g's  X: 0.017, Y: -0.032, Z: 0.997, roll: -1.851, pitch: -0.953
10:45:02.713 -> Acceleration in g's  X: 0.018, Y: -0.034, Z: 0.996, roll: -1.965, pitch: -1.010
10:45:02.713 -> Acceleration in g's  X: 0.019, Y: -0.034, Z: 0.996, roll: -1.965, pitch: -1.067
10:45:02.747 -> Acceleration in g's  X: 0.019, Y: -0.034, Z: 0.995, roll: -1.967, pitch: -1.068
10:45:02.782 -> Acceleration in g's  X: 0.018, Y: -0.033, Z: 0.995, roll: -1.911, pitch: -1.011
10:45:02.816 -> Acceleration in g's  X: 0.019, Y: -0.033, Z: 0.995, roll: -1.911, pitch: -1.068
10:45:02.816 -> Acceleration in g's  X: 0.020, Y: -0.033, Z: 0.995, roll: -1.911, pitch: -1.124
10:45:02.850 -> Acceleration in g's  X: 0.020, Y: -0.032, Z: 0.996, roll: -1.853, pitch: -1.123
10:45:02.884 -> Acceleration in g's  X: 0.020, Y: -0.031, Z: 0.996, roll: -1.797, pitch: -1.123
10:45:02.919 -> Acceleration in g's  X: 0.020, Y: -0.032, Z: 0.995, roll: -1.855, pitch: -1.124
10:45:02.919 -> Acceleration in g's  X: 0.020, Y: -0.033, Z: 0.995, roll: -1.911, pitch: -1.124
10:45:02.953 -> Acceleration in g's  X: 0.019, Y: -0.032, Z: 0.995, roll: -1.855, pitch: -1.068
10:45:02.986 -> Acceleration in g's  X: 0.019, Y: -0.031, Z: 0.994, roll: -1.800, pitch: -1.069
10:45:03.020 -> Acceleration in g's  X: 0.019, Y: -0.032, Z: 0.995, roll: -1.855, pitch: -1.068
10:45:03.020 -> Acceleration in g's  X: 0.019, Y: -0.033, Z: 0.995, roll: -1.911, pitch: -1.068
10:45:03.054 -> Acceleration in g's  X: 0.020, Y: -0.034, Z: 0.994, roll: -1.969, pitch: -1.125
10:45:03.088 -> Acceleration in g's  X: 0.020, Y: -0.033, Z: 0.994, roll: -1.913, pitch: -1.125
10:45:03.122 -> Acceleration in g's  X: 0.019, Y: -0.033, Z: 0.993, roll: -1.915, pitch: -1.070
10:45:03.156 -> Acceleration in g's  X: 0.018, Y: -0.035, Z: 0.993, roll: -2.027, pitch: -1.013
10:45:03.156 -> Acceleration in g's  X: 0.019, Y: -0.035, Z: 0.995, roll: -2.023, pitch: -1.068
10:45:03.189 -> Acceleration in g's  X: 0.018, Y: -0.034, Z: 0.996, roll: -1.965, pitch: -1.010
10:45:03.222 -> Acceleration in g's  X: 0.017, Y: -0.034, Z: 0.993, roll: -1.971, pitch: -0.957
10:45:03.256 -> Acceleration in g's  X: 0.019, Y: -0.033, Z: 0.997, roll: -1.907, pitch: -1.066
10:45:03.256 -> Acceleration in g's  X: 0.020, Y: -0.032, Z: 0.996, roll: -1.853, pitch: -1.123
10:45:03.290 -> Acceleration in g's  X: 0.020, Y: -0.033, Z: 0.995, roll: -1.911, pitch: -1.124
10:45:03.324 -> Acceleration in g's  X: 0.018, Y: -0.032, Z: 0.995, roll: -1.855, pitch: -1.011
10:45:03.358 -> Acceleration in g's  X: 0.019, Y: -0.032, Z: 0.992, roll: -1.860, pitch: -1.071
10:45:03.358 -> Acceleration in g's  X: 0.019, Y: -0.032, Z: 0.993, roll: -1.859, pitch: -1.070
10:45:03.393 -> Acceleration in g's  X: 0.018, Y: -0.033, Z: 0.996, roll: -1.909, pitch: -1.010
10:45:03.427 -> Acceleration in g's  X: 0.017, Y: -0.033, Z: 0.997, roll: -1.907, pitch: -0.953
10:45:03.461 -> Acceleration in g's  X: 0.018, Y: -0.033, Z: 0.996, roll: -1.909, pitch: -1.010
10:45:03.461 -> Acceleration in g's  X: 0.018, Y: -0.034, Z: 0.996, roll: -1.965, pitch: -1.010
10:45:03.495 -> Acceleration in g's  X: 0.018, Y: -0.033, Z: 0.996, roll: -1.909, pitch: -1.010
10:45:03.529 -> Acceleration in g's  X: 0.018, Y: -0.034, Z: 0.996, roll: -1.965, pitch: -1.010
10:45:03.564 -> Acceleration in g's  X: 0.018, Y: -0.034, Z: 0.995, roll: -1.967, pitch: -1.011
10:45:03.564 -> Acceleration in g's  X: 0.019, Y: -0.033, Z: 0.997, roll: -1.907, pitch: -1.066
10:45:03.598 -> Acceleration in g's  X: 0.019, Y: -0.032, Z: 0.995, roll: -1.855, pitch: -1.068
10:45:03.630 -> Acceleration in g's  X: 0.019, Y: -0.032, Z: 0.995, roll: -1.855, pitch: -1.068
10:45:03.665 -> Acceleration in g's  X: 0.019, Y: -0.032, Z: 0.996, roll: -1.853, pitch: -1.067
10:45:03.699 -> Acceleration in g's  X: 0.018, Y: -0.031, Z: 0.995, roll: -1.799, pitch: -1.011
10:45:03.699 -> Acceleration in g's  X: 0.018, Y: -0.031, Z: 0.995, roll: -1.799, pitch: -1.011
10:45:03.733 -> Acceleration in g's  X: 0.017, Y: -0.031, Z: 0.996, roll: -1.797, pitch: -0.954
10:45:03.767 -> Acceleration in g's  X: 0.020, Y: -0.031, Z: 0.998, roll: -1.793, pitch: -1.121
10:45:03.802 -> Acceleration in g's  X: 0.021, Y: -0.031, Z: 0.998, roll: -1.793, pitch: -1.177
10:45:03.802 -> Acceleration in g's  X: 0.020, Y: -0.032, Z: 0.997, roll: -1.851, pitch: -1.122
10:45:03.836 -> Acceleration in g's  X: 0.019, Y: -0.032, Z: 0.997, roll: -1.851, pitch: -1.066
10:45:03.871 -> Acceleration in g's  X: 0.021, Y: -0.033, Z: 0.994, roll: -1.913, pitch: -1.181
10:45:03.905 -> Acceleration in g's  X: 0.021, Y: -0.033, Z: 0.995, roll: -1.911, pitch: -1.180
10:45:03.905 -> Acceleration in g's  X: 0.019, Y: -0.034, Z: 0.996, roll: -1.965, pitch: -1.067
10:45:03.940 -> Acceleration in g's  X: 0.018, Y: -0.033, Z: 0.995, roll: -1.911, pitch: -1.011
10:45:03.974 -> Acceleration in g's  X: 0.018, Y: -0.033, Z: 0.997, roll: -1.907, pitch: -1.009
10:45:04.007 -> Acceleration in g's  X: 0.019, Y: -0.033, Z: 0.997, roll: -1.907, pitch: -1.066
10:45:04.007 -> Acceleration in g's  X: 0.018, Y: -0.034, Z: 0.996, roll: -1.965, pitch: -1.010
10:45:04.040 -> Acceleration in g's  X: 0.018, Y: -0.033, Z: 0.998, roll: -1.905, pitch: -1.008
10:45:04.074 -> Acceleration in g's  X: 0.020, Y: -0.033, Z: 0.997, roll: -1.907, pitch: -1.122
10:45:04.107 -> Acceleration in g's  X: 0.019, Y: -0.032, Z: 0.997, roll: -1.851, pitch: -1.066
10:45:04.107 -> Acceleration in g's  X: 0.018, Y: -0.033, Z: 0.996, roll: -1.909, pitch: -1.010
10:45:04.140 -> Acceleration in g's  X: 0.018, Y: -0.033, Z: 0.995, roll: -1.911, pitch: -1.011
10:45:04.175 -> Acceleration in g's  X: 0.018, Y: -0.033, Z: 0.995, roll: -1.911, pitch: -1.011
10:45:04.208 -> Acceleration in g's  X: 0.018, Y: -0.032, Z: 0.994, roll: -1.857, pitch: -1.012
10:45:04.242 -> Acceleration in g's  X: 0.019, Y: -0.033, Z: 0.996, roll: -1.909, pitch: -1.067
10:45:04.242 -> Acceleration in g's  X: 0.020, Y: -0.033, Z: 0.996, roll: -1.909, pitch: -1.123
10:45:04.275 -> Acceleration in g's  X: 0.020, Y: -0.034, Z: 0.995, roll: -1.967, pitch: -1.124
10:45:04.309 -> Acceleration in g's  X: 0.019, Y: -0.033, Z: 0.997, roll: -1.907, pitch: -1.066
10:45:04.344 -> Acceleration in g's  X: 0.019, Y: -0.034, Z: 0.998, roll: -1.961, pitch: -1.064
10:45:04.344 -> Acceleration in g's  X: 0.019, Y: -0.033, Z: 0.998, roll: -1.905, pitch: -1.064
10:45:04.378 -> Acceleration in g's  X: 0.020, Y: -0.034, Z: 0.996, roll: -1.965, pitch: -1.123
10:45:04.413 -> Acceleration in g's  X: 0.019, Y: -0.034, Z: 0.995, roll: -1.967, pitch: -1.068
10:45:04.447 -> Acceleration in g's  X: 0.018, Y: -0.034, Z: 0.994, roll: -1.969, pitch: -1.012
10:45:04.447 -> Acceleration in g's  X: 0.018, Y: -0.034, Z: 0.993, roll: -1.971, pitch: -1.013
10:45:04.482 -> Acceleration in g's  X: 0.020, Y: -0.032, Z: 0.996, roll: -1.853, pitch: -1.123
10:45:04.516 -> Acceleration in g's  X: 0.020, Y: -0.031, Z: 0.996, roll: -1.797, pitch: -1.123
10:45:04.551 -> Acceleration in g's  X: 0.020, Y: -0.031, Z: 0.997, roll: -1.795, pitch: -1.122
10:45:04.551 -> Acceleration in g's  X: 0.020, Y: -0.032, Z: 0.998, roll: -1.849, pitch: -1.121
10:45:04.585 -> Acceleration in g's  X: 0.020, Y: -0.033, Z: 0.998, roll: -1.905, pitch: -1.120
10:45:04.618 -> Acceleration in g's  X: 0.019, Y: -0.032, Z: 0.998, roll: -1.849, pitch: -1.065
10:45:04.652 -> Acceleration in g's  X: 0.018, Y: -0.033, Z: 0.997, roll: -1.907, pitch: -1.009
10:45:04.652 -> Acceleration in g's  X: 0.017, Y: -0.033, Z: 0.995, roll: -1.911, pitch: -0.955
10:45:04.686 -> Acceleration in g's  X: 0.017, Y: -0.033, Z: 0.994, roll: -1.913, pitch: -0.956
10:45:04.719 -> Acceleration in g's  X: 0.017, Y: -0.035, Z: 0.994, roll: -2.025, pitch: -0.956
10:45:04.753 -> Acceleration in g's  X: 0.017, Y: -0.034, Z: 0.995, roll: -1.967, pitch: -0.955
10:45:04.787 -> Acceleration in g's  X: 0.017, Y: -0.034, Z: 0.996, roll: -1.965, pitch: -0.954
10:45:04.787 -> Acceleration in g's  X: 0.017, Y: -0.034, Z: 0.997, roll: -1.963, pitch: -0.953
10:45:04.821 -> Acceleration in g's  X: 0.018, Y: -0.034, Z: 0.998, roll: -1.961, pitch: -1.008
10:45:04.855 -> Acceleration in g's  X: 0.019, Y: -0.034, Z: 1.001, roll: -1.956, pitch: -1.061
10:45:04.889 -> Acceleration in g's  X: 0.019, Y: -0.034, Z: 0.997, roll: -1.963, pitch: -1.065
10:45:04.889 -> Acceleration in g's  X: 0.019, Y: -0.034, Z: 0.994, roll: -1.969, pitch: -1.069
10:45:04.922 -> Acceleration in g's  X: 0.019, Y: -0.032, Z: 0.991, roll: -1.862, pitch: -1.072
10:45:04.955 -> Acceleration in g's  X: 0.019, Y: -0.031, Z: 0.994, roll: -1.800, pitch: -1.069
10:45:04.989 -> Acceleration in g's  X: 0.019, Y: -0.030, Z: 0.995, roll: -1.743, pitch: -1.068
10:45:04.989 -> Acceleration in g's  X: 0.020, Y: -0.030, Z: 0.998, roll: -1.737, pitch: -1.121
10:45:05.024 -> Acceleration in g's  X: 0.020, Y: -0.030, Z: 0.998, roll: -1.737, pitch: -1.121
10:45:05.058 -> Acceleration in g's  X: 0.021, Y: -0.031, Z: 0.998, roll: -1.793, pitch: -1.177
10:45:05.092 -> Acceleration in g's  X: 0.020, Y: -0.031, Z: 0.996, roll: -1.797, pitch: -1.123
10:45:05.092 -> Acceleration in g's  X: 0.020, Y: -0.032, Z: 0.997, roll: -1.851, pitch: -1.122
10:45:05.126 -> Acceleration in g's  X: 0.019, Y: -0.033, Z: 0.998, roll: -1.905, pitch: -1.064
10:45:05.161 -> Acceleration in g's  X: 0.018, Y: -0.033, Z: 0.998, roll: -1.905, pitch: -1.008
10:45:05.194 -> Acceleration in g's  X: 0.018, Y: -0.035, Z: 0.998, roll: -2.017, pitch: -1.008
10:45:05.194 -> Acceleration in g's  X: 0.018, Y: -0.035, Z: 0.996, roll: -2.021, pitch: -1.010
10:45:05.228 -> Acceleration in g's  X: 0.018, Y: -0.034, Z: 0.994, roll: -1.969, pitch: -1.012
10:45:05.263 -> Acceleration in g's  X: 0.018, Y: -0.033, Z: 0.993, roll: -1.915, pitch: -1.013
10:45:05.297 -> Acceleration in g's  X: 0.019, Y: -0.033, Z: 0.996, roll: -1.909, pitch: -1.067
10:45:05.297 -> Acceleration in g's  X: 0.018, Y: -0.032, Z: 0.996, roll: -1.853, pitch: -1.010
10:45:05.331 -> Acceleration in g's  X: 0.018, Y: -0.031, Z: 0.999, roll: -1.792, pitch: -1.008
10:45:05.365 -> Acceleration in g's  X: 0.017, Y: -0.032, Z: 1.001, roll: -1.844, pitch: -0.950
10:45:05.399 -> Acceleration in g's  X: 0.018, Y: -0.032, Z: 1.000, roll: -1.846, pitch: -1.007
10:45:05.433 -> Acceleration in g's  X: 0.018, Y: -0.032, Z: 0.998, roll: -1.849, pitch: -1.008
10:45:05.433 -> Acceleration in g's  X: 0.018, Y: -0.032, Z: 0.995, roll: -1.855, pitch: -1.011
10:45:05.468 -> Acceleration in g's  X: 0.020, Y: -0.032, Z: 0.994, roll: -1.857, pitch: -1.125
10:45:05.501 -> Acceleration in g's  X: 0.019, Y: -0.033, Z: 0.995, roll: -1.911, pitch: -1.068
10:45:05.535 -> Acceleration in g's  X: 0.019, Y: -0.033, Z: 0.993, roll: -1.915, pitch: -1.070
10:45:05.535 -> Acceleration in g's  X: 0.018, Y: -0.034, Z: 0.998, roll: -1.961, pitch: -1.008
10:45:05.569 -> Acceleration in g's  X: 0.019, Y: -0.034, Z: 0.998, roll: -1.961, pitch: -1.064
10:45:05.602 -> Acceleration in g's  X: 0.019, Y: -0.034, Z: 0.996, roll: -1.965, pitch: -1.067
10:45:05.637 -> Acceleration in g's  X: 0.019, Y: -0.034, Z: 0.995, roll: -1.967, pitch: -1.068
10:45:05.637 -> Acceleration in g's  X: 0.020, Y: -0.034, Z: 0.999, roll: -1.960, pitch: -1.119
10:45:05.671 -> Acceleration in g's  X: 0.021, Y: -0.034, Z: 1.001, roll: -1.956, pitch: -1.173
10:45:05.705 -> Acceleration in g's  X: 0.020, Y: -0.032, Z: 0.999, roll: -1.848, pitch: -1.119
10:45:05.739 -> Acceleration in g's  X: 0.019, Y: -0.031, Z: 0.993, roll: -1.802, pitch: -1.070
10:45:05.739 -> Acceleration in g's  X: 0.020, Y: -0.032, Z: 0.994, roll: -1.857, pitch: -1.125
10:45:05.772 -> Acceleration in g's  X: 0.019, Y: -0.031, Z: 0.995, roll: -1.799, pitch: -1.068
10:45:05.806 -> Acceleration in g's  X: 0.018, Y: -0.030, Z: 0.994, roll: -1.744, pitch: -1.013
10:45:05.840 -> Acceleration in g's  X: 0.017, Y: -0.032, Z: 0.995, roll: -1.855, pitch: -0.955
10:45:05.875 -> Acceleration in g's  X: 0.019, Y: -0.032, Z: 0.996, roll: -1.853, pitch: -1.067
10:45:05.875 -> Acceleration in g's  X: 0.019, Y: -0.032, Z: 0.998, roll: -1.849, pitch: -1.065
10:45:05.908 -> Acceleration in g's  X: 0.018, Y: -0.035, Z: 0.998, roll: -2.017, pitch: -1.008
10:45:05.941 -> Acceleration in g's  X: 0.019, Y: -0.035, Z: 0.996, roll: -2.021, pitch: -1.066
10:45:05.976 -> Acceleration in g's  X: 0.019, Y: -0.034, Z: 0.994, roll: -1.969, pitch: -1.069
10:45:05.976 -> Acceleration in g's  X: 0.019, Y: -0.035, Z: 0.994, roll: -2.025, pitch: -1.069
10:45:06.010 -> Acceleration in g's  X: 0.019, Y: -0.035, Z: 0.994, roll: -2.025, pitch: -1.069
10:45:06.043 -> Acceleration in g's  X: 0.018, Y: -0.034, Z: 0.996, roll: -1.965, pitch: -1.010
10:45:06.077 -> Acceleration in g's  X: 0.017, Y: -0.034, Z: 0.995, roll: -1.967, pitch: -0.955
10:45:06.077 -> Acceleration in g's  X: 0.017, Y: -0.032, Z: 0.997, roll: -1.851, pitch: -0.953
10:45:06.111 -> Acceleration in g's  X: 0.017, Y: -0.032, Z: 0.995, roll: -1.855, pitch: -0.955
10:45:06.146 -> Acceleration in g's  X: 0.017, Y: -0.031, Z: 0.993, roll: -1.802, pitch: -0.957
10:45:06.180 -> Acceleration in g's  X: 0.018, Y: -0.028, Z: 0.996, roll: -1.629, pitch: -1.011
10:45:06.180 -> Acceleration in g's  X: 0.017, Y: -0.031, Z: 0.999, roll: -1.792, pitch: -0.952
10:45:06.214 -> Acceleration in g's  X: 0.019, Y: -0.031, Z: 0.999, roll: -1.792, pitch: -1.064
10:45:06.248 -> Acceleration in g's  X: 0.021, Y: -0.031, Z: 0.997, roll: -1.795, pitch: -1.178
10:45:06.282 -> Acceleration in g's  X: 0.021, Y: -0.033, Z: 0.997, roll: -1.907, pitch: -1.234
10:45:06.282 -> Acceleration in g's  X: 0.022, Y: -0.034, Z: 0.996, roll: -1.965, pitch: -1.291
10:45:06.315 -> Acceleration in g's  X: 0.023, Y: -0.034, Z: 0.994, roll: -1.969, pitch: -1.350
10:45:06.349 -> Acceleration in g's  X: 0.021, Y: -0.035, Z: 0.991, roll: -2.031, pitch: -1.241
10:45:06.384 -> Acceleration in g's  X: 0.021, Y: -0.036, Z: 0.992, roll: -2.086, pitch: -1.183
10:45:06.384 -> Acceleration in g's  X: 0.021, Y: -0.035, Z: 0.996, roll: -2.021, pitch: -1.179
10:45:06.418 -> Acceleration in g's  X: 0.019, Y: -0.035, Z: 0.998, roll: -2.017, pitch: -1.064
10:45:06.452 -> Acceleration in g's  X: 0.016, Y: -0.034, Z: 0.996, roll: -1.965, pitch: -0.898
10:45:06.485 -> Acceleration in g's  X: 0.017, Y: -0.034, Z: 0.996, roll: -1.965, pitch: -0.954
10:45:06.519 -> Acceleration in g's  X: 0.017, Y: -0.032, Z: 0.997, roll: -1.851, pitch: -0.953
10:45:06.519 -> Acceleration in g's  X: 0.015, Y: -0.031, Z: 0.996, roll: -1.797, pitch: -0.842
10:45:06.552 -> Acceleration in g's  X: 0.015, Y: -0.032, Z: 0.994, roll: -1.857, pitch: -0.844
10:45:06.586 -> Acceleration in g's  X: 0.016, Y: -0.033, Z: 0.995, roll: -1.911, pitch: -0.899
10:45:06.621 -> Acceleration in g's  X: 0.018, Y: -0.033, Z: 0.994, roll: -1.913, pitch: -1.012
10:45:06.621 -> Acceleration in g's  X: 0.019, Y: -0.033, Z: 0.994, roll: -1.913, pitch: -1.069
10:45:06.654 -> Acceleration in g's  X: 0.019, Y: -0.032, Z: 0.995, roll: -1.855, pitch: -1.068
10:45:06.688 -> Acceleration in g's  X: 0.019, Y: -0.032, Z: 0.996, roll: -1.853, pitch: -1.067
10:45:06.723 -> Acceleration in g's  X: 0.020, Y: -0.032, Z: 0.996, roll: -1.853, pitch: -1.123
10:45:06.723 -> Acceleration in g's  X: 0.021, Y: -0.032, Z: 0.998, roll: -1.849, pitch: -1.233
10:45:06.757 -> Acceleration in g's  X: 0.021, Y: -0.032, Z: 0.999, roll: -1.848, pitch: -1.231
10:45:06.791 -> Acceleration in g's  X: 0.021, Y: -0.033, Z: 0.995, roll: -1.911, pitch: -1.180
10:45:06.824 -> Acceleration in g's  X: 0.021, Y: -0.032, Z: 0.994, roll: -1.857, pitch: -1.181
10:45:06.824 -> Acceleration in g's  X: 0.021, Y: -0.032, Z: 0.995, roll: -1.855, pitch: -1.180
